delta_d_solvent,delta_p_solvent,delta_h_solvent,molar_volume_cm3_mol,delta_d_polymer,delta_p_polymer,delta_h_polymer,compatible
15.5,3.9,9.7,84.2,16.9,3.3,4.1,1
15.7,5.3,11.7,88.2,16.9,3.3,4.1,1
17.3,7.8,6.5,88.6,16.9,3.3,4.1,1
15.2,6.1,5.7,63.2,16.9,3.3,4.1,0
17.4,13.7,11.3,77.0,16.9,3.3,4.1,0
15.3,5.9,11.0,76.0,16.9,3.3,4.1,0
16.7,13.1,7.5,106.9,16.9,3.3,4.1,0
18.6,10.8,4.9,163.0,16.9,3.3,4.1,0
16.6,2.9,6.7,233.3,16.9,3.3,4.1,0
17.7,17.0,9.7,94.7,16.9,3.3,4.1,0
16.1,6.4,7.4,73.2,16.9,3.3,4.1,1
19.0,19.4,12.3,75.0,16.9,3.3,4.1,0
18.4,16.4,10.2,71.3,16.9,3.3,4.1,0
16.7,2.0,5.1,400.0,16.9,3.3,4.1,1
16.6,7.0,3.1,377.0,16.9,3.3,4.1,0
19.5,3.4,5.8,160.4,16.9,3.3,4.1,1
20.0,3.3,5.9,145.9,16.9,3.3,4.1,1
19.5,1.0,1.0,168.2,16.9,3.3,4.1,1
15.3,1.4,4.1,136.9,16.9,3.3,4.1,1
15.8,5.7,4.9,140.8,16.9,3.3,4.1,1
16.3,4.9,8.0,195.7,16.9,3.3,4.1,1
17.3,7.8,6.5,88.6,16.9,3.3,4.1,1
16.6,5.4,1.9,558.3,16.9,3.3,4.1,1
16.5,4.6,5.6,93.6,16.9,3.3,4.1,0
16.0,0.0,0.0,228.6,16.9,3.3,4.1,1
16.0,4.0,9.3,224.5,16.9,3.3,4.1,1
16.5,0.0,0.0,359.8,16.9,3.3,4.1,1
19.4,13.8,3.9,110.7,16.9,3.3,4.1,0
17.9,7.2,8.7,83.9,16.9,3.3,4.1,1
17.7,14.9,6.8,94.7,16.9,3.3,4.1,0
15.7,6.5,7.1,74.3,16.9,3.3,4.1,1
15.8,8.8,19.4,58.5,16.9,3.3,4.1,0
16.2,3.3,8.8,155.5,16.9,3.3,4.1,1
15.8,5.3,7.2,98.5,16.9,3.3,4.1,1
15.1,3.4,5.0,81.5,16.9,3.3,4.1,1
15.5,7.1,5.5,108.8,16.9,3.3,4.1,1
15.0,5.6,10.7,65.6,16.9,3.3,4.1,1
16.2,4.5,4.1,156.0,16.9,3.3,4.1,1
17.8,0.6,1.4,123.1,16.9,3.3,4.1,1
17.9,6.2,6.0,144.3,16.9,3.3,4.1,1
16.5,8.4,2.3,74.6,16.9,3.3,4.1,1
16.2,5.0,4.1,139.0,16.9,3.3,4.1,1
15.5,5.6,5.0,132.9,16.9,3.3,4.1,1
15.5,3.2,5.9,149.6,16.9,3.3,4.1,1
16.8,10.1,13.0,91.2,16.9,3.3,4.1,0
15.6,15.2,5.8,74.4,16.9,3.3,4.1,0
15.7,6.1,2.9,70.0,16.9,3.3,4.1,1
15.5,10.0,6.7,95.6,16.9,3.3,4.1,1
16.7,7.9,8.3,107.1,16.9,3.3,4.1,0
15.4,7.9,5.9,87.6,16.9,3.3,4.1,0
17.2,10.0,14.0,76.5,16.9,3.3,4.1,0
15.5,8.4,8.4,80.2,16.9,3.3,4.1,1
15.8,2.9,5.1,196.0,16.9,3.3,4.1,1
14.8,4.7,3.4,208.2,16.9,3.3,4.1,1
15.7,8.6,6.5,79.5,16.9,3.3,4.1,0
17.3,7.9,7.2,81.2,16.9,3.3,4.1,1
15.4,12.0,2.5,78.7,16.9,3.3,4.1,0
17.2,14.7,9.0,87.1,16.9,3.3,4.1,0
17.1,4.8,2.5,91.2,16.9,3.3,4.1,1
15.5,6.1,4.9,115.5,16.9,3.3,4.1,1
15.4,13.4,5.4,87.1,16.9,3.3,4.1,0
14.9,4.9,5.6,94.9,16.9,3.3,4.1,0
15.8,11.3,4.5,99.3,16.9,3.3,4.1,0
15.0,2.0,3.8,63.0,16.9,3.3,4.1,1
17.0,11.0,26.0,55.8,16.9,3.3,4.1,0
15.3,4.5,8.8,171.2,16.9,3.3,4.1,1
16.2,4.7,9.8,132.8,16.9,3.3,4.1,1
15.9,5.1,9.3,147.7,16.9,3.3,4.1,0
15.9,5.5,11.6,121.6,16.9,3.3,4.1,1
16.9,9.3,9.6,97.9,16.9,3.3,4.1,1
15.6,10.0,11.0,49.9,16.9,3.3,4.1,1
19.3,9.0,6.5,59.5,16.9,3.3,4.1,1
16.6,8.8,17.0,67.3,16.9,3.3,4.1,0
18.6,9.8,7.7,51.8,16.9,3.3,4.1,0
15.7,4.2,6.1,163.3,16.9,3.3,4.1,1
16.2,12.1,4.5,99.0,16.9,3.3,4.1,1
15.8,8.1,6.5,70.1,16.9,3.3,4.1,1
18.7,6.1,2.0,94.7,16.9,3.3,4.1,1
15.2,7.0,1.0,57.5,16.9,3.3,4.1,1
13.4,10.6,9.5,40.7,16.9,3.3,4.1,0
12.8,14.4,15.4,36.8,16.9,3.3,4.1,0
17.2,26.2,19.0,39.8,16.9,3.3,4.1,0
14.3,11.9,16.6,37.8,16.9,3.3,4.1,0
15.0,10.1,8.6,56.5,16.9,3.3,4.1,1
18.5,10.4,7.6,127.0,16.9,3.3,4.1,1
18.7,10.6,7.8,111.5,16.9,3.3,4.1,0
17.8,1.8,5.3,72.5,16.9,3.3,4.1,1
18.6,14.9,5.1,83.2,16.9,3.3,4.1,0
17.4,7.6,15.1,86.5,16.9,3.3,4.1,0
18.4,15.0,8.2,87.5,16.9,3.3,4.1,0
17.4,12.1,29.3,73.3,16.9,3.3,4.1,0
16.4,8.9,14.2,149.4,16.9,3.3,4.1,1
17.5,13.4,9.8,63.2,16.9,3.3,4.1,0
18.2,9.0,17.9,66.5,16.9,3.3,4.1,0
15.0,17.0,13.3,50.9,16.9,3.3,4.1,0
15.3,0.0,0.0,147.4,16.9,3.3,4.1,1
16.0,5.3,11.7,141.4,16.9,3.3,4.1,0
15.0,1.1,2.6,141.9,16.9,3.3,4.1,1
15.8,2.9,5.5,181.1,16.9,3.3,4.1,1
16.3,0.0,0.0,294.1,16.9,3.3,4.1,1
15.8,8.5,5.4,120.2,16.9,3.3,4.1,1
14.9,0.0,0.0,131.6,16.9,3.3,4.1,0
15.0,4.1,9.4,125.9,16.9,3.3,4.1,0
15.9,5.8,12.5,124.9,16.9,3.3,4.1,0
14.7,1.1,0.0,126.1,16.9,3.3,4.1,0
15.8,2.9,5.9,165.0,16.9,3.3,4.1,1
15.7,8.4,17.8,123.0,16.9,3.3,4.1,0
15.3,4.5,7.2,204.3,16.9,3.3,4.1,1
14.2,8.3,8.9,32.1,16.9,3.3,4.1,0
12.3,17.6,9.0,39.3,16.9,3.3,4.1,0
18.9,9.4,16.3,80.0,16.9,3.3,4.1,0
16.0,13.2,13.4,114.9,16.9,3.3,4.1,0
19.5,6.0,6.1,114.4,16.9,3.3,4.1,1
20.2,3.6,10.6,98.2,16.9,3.3,4.1,0
15.3,3.1,7.0,148.8,16.9,3.3,4.1,1
15.7,5.2,5.6,165.7,16.9,3.3,4.1,0
15.1,3.7,6.3,133.5,16.9,3.3,4.1,1
15.5,6.2,5.0,145.0,16.9,3.3,4.1,1
15.5,6.5,6.7,117.4,16.9,3.3,4.1,1
15.1,2.9,5.9,163.0,16.9,3.3,4.1,1
14.5,2.0,1.5,89.4,16.9,3.3,4.1,1
16.5,5.4,11.1,93.4,16.9,3.3,4.1,0
15.8,10.5,13.6,37.7,16.9,3.3,4.1,0
14.9,4.5,8.2,117.1,16.9,3.3,4.1,0
14.8,4.4,6.6,86.8,16.9,3.3,4.1,1
18.1,1.2,1.2,139.1,16.9,3.3,4.1,1
14.3,3.9,3.7,330.0,16.9,3.3,4.1,1
18.8,13.4,11.2,64.1,16.9,3.3,4.1,0
15.4,7.3,5.8,53.0,16.9,3.3,4.1,1
20.2,18.1,12.6,66.3,16.9,3.3,4.1,0
17.7,18.4,6.7,55.5,16.9,3.3,4.1,0
16.8,4.7,4.9,215.8,16.9,3.3,4.1,1
18.0,0.0,0.6,139.8,16.9,3.3,4.1,1
15.1,12.3,22.3,40.7,16.9,3.3,4.1,0
15.3,4.1,8.1,153.9,16.9,3.3,4.1,1
16.9,18.7,13.9,76.9,16.9,3.3,4.1,0
15.5,7.2,7.6,79.7,16.9,3.3,4.1,1
15.1,3.8,9.2,59.6,16.9,3.3,4.1,1
15.3,6.7,9.4,90.3,16.9,3.3,4.1,1
16.0,6.0,15.5,84.4,16.9,3.3,4.1,0
13.0,7.3,17.3,44.4,16.9,3.3,4.1,0
15.2,3.1,6.8,167.4,16.9,3.3,4.1,1
18.9,8.2,4.7,124.9,16.9,3.3,4.1,1
17.0,8.8,2.6,56.8,16.9,3.3,4.1,1
15.3,6.1,4.1,123.6,16.9,3.3,4.1,0
15.3,6.1,3.9,55.4,16.9,3.3,4.1,1
16.3,9.5,8.5,77.3,16.9,3.3,4.1,0
16.8,14.8,9.1,88.3,16.9,3.3,4.1,0
16.0,0.0,1.0,128.3,16.9,3.3,4.1,0
14.7,4.9,6.2,84.1,16.9,3.3,4.1,1
16.0,9.0,5.1,90.1,16.9,3.3,4.1,0
14.7,4.9,7.8,94.8,16.9,3.3,4.1,1
17.4,18.8,15.9,59.1,16.9,3.3,4.1,0
15.3,8.4,10.2,62.2,16.9,3.3,4.1,0
17.4,6.9,9.7,107.0,16.9,3.3,4.1,1
16.2,8.7,14.8,52.7,16.9,3.3,4.1,0
17.5,7.7,5.3,62.3,16.9,3.3,4.1,1
15.6,7.3,2.5,61.8,16.9,3.3,4.1,1
17.3,16.2,10.1,68.4,16.9,3.3,4.1,0
16.6,7.7,8.6,54.1,16.9,3.3,4.1,1
16.2,5.7,4.1,139.8,16.9,3.3,4.1,1
16.0,7.6,4.7,106.7,16.9,3.3,4.1,1
15.8,14.0,4.8,63.8,16.9,3.3,4.1,1
19.6,4.8,4.7,117.4,16.9,3.3,4.1,1
20.0,16.9,7.8,124.6,16.9,3.3,4.1,0
14.0,14.0,8.4,73.9,16.9,3.3,4.1,0
15.5,6.5,7.7,96.8,16.9,3.3,4.1,1
15.5,3.3,0.0,71.0,16.9,3.3,4.1,1
17.3,15.0,6.0,68.5,16.9,3.3,4.1,0
14.9,5.3,6.3,75.2,16.9,3.3,4.1,1
15.6,12.5,5.0,81.2,16.9,3.3,4.1,0
16.4,4.9,6.0,82.1,16.9,3.3,4.1,1
16.8,19.6,4.8,87.6,16.9,3.3,4.1,0
15.3,3.8,7.7,168.6,16.9,3.3,4.1,1
19.6,15.3,3.8,152.6,16.9,3.3,4.1,0
15.0,1.8,8.6,169.4,16.9,3.3,4.1,1
19.5,6.0,11.5,108.4,16.9,3.3,4.1,0
18.2,6.3,6.1,63.9,16.9,3.3,4.1,1
17.8,3.9,5.5,80.5,16.9,3.3,4.1,1
19.0,6.7,5.9,114.8,16.9,3.3,4.1,1
18.8,4.9,9.2,87.1,16.9,3.3,4.1,1
17.3,6.0,10.5,132.2,16.9,3.3,4.1,1
19.2,2.0,5.9,111.5,16.9,3.3,4.1,1
19.7,6.3,12.3,131.7,16.9,3.3,4.1,0
20.0,8.6,4.1,102.7,16.9,3.3,4.1,0
16.0,15.5,4.5,71.5,16.9,3.3,4.1,0
16.3,16.6,5.0,59.9,16.9,3.3,4.1,0
15.8,18.8,5.1,54.3,16.9,3.3,4.1,0
20.0,12.7,4.0,89.3,16.9,3.3,4.1,1
15.7,0.0,0.0,179.7,16.9,3.3,4.1,1
15.7,7.0,15.1,170.5,16.9,3.3,4.1,0
16.0,4.8,10.6,174.4,16.9,3.3,4.1,1
15.4,1.0,2.2,170.5,16.9,3.3,4.1,1
