polymer_name,delta_d_polymer,delta_p_polymer,delta_h_polymer,r0_polymer,solvent_name,delta_d_solvent,delta_p_solvent,delta_h_solvent,molar_volume_cm3_mol,red_value,compatible
Polyethylene (PE),16.9,3.3,4.1,8.1,n-Butyl Cyclopentane,16.4,0.0,1.0,162.0,0.5724,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Butyl Formate,15.7,6.5,9.2,114.8,0.8002,1
Polyethylene (PE),16.9,3.3,4.1,8.1,n-Butyl Propionate,15.7,5.5,5.9,149.7,0.4593,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Butyl Stearate,14.5,3.7,3.5,382.0,0.5992,1
Polyethylene (PE),16.9,3.3,4.1,8.1,n-Butylbenzene,17.4,0.1,1.1,157.0,0.5554,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Butynedinitrile,15.2,16.2,8.0,78.4,1.7159,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Butyraldehyde,15.6,10.1,6.2,90.5,0.9354,1
Polyethylene (PE),16.9,3.3,4.1,8.1,n-Butyramide,16.9,13.7,12.3,98.4,1.635,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Butyric Acid,14.9,4.1,10.6,110.0,0.9474,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Butyric Anhydride,16.0,6.3,7.7,164.4,0.6197,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Gamma-Butyrolactone,19.0,16.6,7.4,76.8,1.7694,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Butyronitrile,15.3,12.4,5.1,87.3,1.1973,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Butyrylchloride,16.8,9.4,4.8,103.6,0.7584,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Caprolactone (Epsilon),19.7,15.0,7.4,110.8,1.6524,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Carbon Dioxide,15.7,6.3,5.7,38.0,0.5138,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Carbon Disulfid,20.5,0.0,0.6,60.0,1.069,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Carbon tetrachloride,17.8,0.0,0.6,97.1,0.6341,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Carbon Tetrachloride,16.1,8.3,0.0,97.1,0.8224,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Carbonyl Sulfid,17.4,3.7,0.0,51.0,0.5233,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Cetyl Alcohol (1-Hexadecanol),15.1,3.7,8.1,298.7,0.6662,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Chloral,17.2,7.4,7.6,97.5,0.6696,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Chlorine,17.3,10.0,0.0,46.0,0.9748,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Chloro Acetaldehyde,16.2,16.1,9.0,60.4,1.7009,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Chloro Acetic Acid,17.7,10.4,12.3,68.6,1.3536,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Chloro Methyl Acrylate,15.9,7.3,8.5,101.4,0.7745,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Chloroacetonitrile,17.4,13.6,2.0,63.3,1.3036,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Chloroacetylchloride,17.5,9.2,5.5,79.5,0.7631,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Chloroacetylene,16.2,2.1,2.5,63.7,0.3014,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Chloroallylidene Diacetate,16.7,7.3,8.8,160.2,0.7635,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Chlorobenzene,19.0,4.3,2.0,102.1,0.5927,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Chlorocyclopropane,17.6,7.2,2.2,84.9,0.5628,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Chlorodifluoromethane (Freon 22,12.3,6.3,5.7,72.9,1.2109,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Chloroethyl Acetate,16.7,9.6,8.8,107.5,0.9716,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Chloroform,17.8,3.1,5.7,80.7,0.2983,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Bis(Chloromethyl) Ether,17.2,4.9,6.6,86.6,0.3739,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Chloromethylsulfid,16.6,6.4,2.0,95.0,0.4682,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Chloronitromethane,17.4,13.5,5.5,65.1,1.277,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Chloropicrin (Trichloronitromethane),17.6,6.8,7.0,101.7,0.5872,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Coumarin,20.0,12.5,6.7,156.3,1.4068,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyanamid (Carbamonitrile),15.5,27.6,16.8,32.8,3.4026,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyanogen,15.1,11.8,0.0,54.6,1.247,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyanogen Bromide,18.3,15.2,0.0,52.6,1.5919,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyanogen Chloride,15.6,14.5,0.0,51.8,1.507,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclobutanone,18.3,11.4,5.2,73.4,1.0667,0
